PROSPECTID,MARITALSTATUS,EDUCATION,GENDER,last_prod_enq2,first_prod_enq2,time_since_recent_payment,num_times_delinquent,unstructured_data_comment
37,Married,12TH,F,others,P2,37,0,"Minor customer complaint regarding service speed, quickly resolved. No broader systemic issues identified."
38,Married,POST-GRADUATE,M,others,P1,52,0,New partnership announced with a market leader. Market response is very positive and stock price has surged.
39,Married,12TH,F,others,P2,37,0,"Minor customer complaint regarding service speed, quickly resolved. No broader systemic issues identified."
40,Single,12TH,F,others,P1,28,0,Excellent market reputation. Strong financial outlook and recent stock price increase.
41,Married,POST-GRADUATE,M,others,P1,52,0,New partnership announced with a market leader. Market response is very positive and stock price has surged.
42,Single,GRADUATE,M,others,P2,41,0,Public statement from CEO about positive future growth and innovative product pipeline.
43,Single,12TH,F,others,P1,34,0,Internal report mentions a data breach. Potential operational risk and legal liabilities are being assessed.
44,Married,GRADUATE,F,others,P2,33,0,Client is a key partner in a large government contract. No red flags and consistent performance metrics.
45,Single,12TH,F,others,P1,28,0,Excellent market reputation. Strong financial outlook and recent stock price increase.
46,Single,GRADUATE,M,others,P1,40,0,Customer inquiry about early loan repayment options. Good sign and a positive indicator of financial health.
47,Single,GRADUATE,F,others,P1,31,0,Company acquired a major competitor. Industry analysts are optimistic about synergies and market share.
48,Single,GRADUATE,M,others,P1,35,0,Positive review from a third-party analyst. No issues reported and strong quarterly earnings announced.
49,Divorced,GRADUATE,M,others,P2,44,0,No new information. Standard business operations with consistent financial performance.
50,Married,POST-GRADUATE,M,others,P1,52,0,New partnership announced with a market leader. Market response is very positive and stock price has surged.
51,Single,12TH,F,others,P2,27,1,Customer's business is in a declining industry. High competition and low margins are a concern.
52,Divorced,GRADUATE,F,others,P1,25,0,"News article highlights strong Q3 earnings, exceeding expectations. Solid growth expected."
53,Married,12TH,F,ConsumerLoan,P2,29,0,Customer's business is stable and has a long history of on-time payments. Diversified portfolio.
54,Single,12TH,F,others,P2,27,1,Customer's business is in a declining industry. High competition and low margins are a concern.
55,Single,12TH,M,others,P2,48,1,Company facing significant legal action for environmental violations with large potential fines.
56,Married,POST-GRADUATE,M,others,P2,46,1,Employee turnover is high. Negative sentiment on social media regarding company culture and leadership.
57,Single,GRADUATE,M,others,P1,40,0,Customer inquiry about early loan repayment options. Good sign and a positive indicator of financial health.
58,Married,POST-GRADUATE,M,others,P1,52,0,New partnership announced with a market leader. Market response is very positive and stock price has surged.
59,Single,12TH,M,others,P2,48,1,Company facing significant legal action for environmental violations with large potential fines.
60,Single,GRADUATE,M,others,P1,40,0,Customer inquiry about early loan repayment options. Good sign and a positive indicator of financial health.
61,Married,POST-GRADUATE,M,others,P2,46,1,Employee turnover is high. Negative sentiment on social media regarding company culture and leadership.
62,Divorced,GRADUATE,M,others,P2,44,0,No new information. Standard business operations with consistent financial performance.
63,Single,GRADUATE,M,others,P1,40,0,Customer inquiry about early loan repayment options. Good sign and a positive indicator of financial health.
64,Single,12TH,M,others,P2,48,1,Company facing significant legal action for environmental violations with large potential fines.
65,Married,POST-GRADUATE,F,others,P2,30,0,Successful product launch. Company is expanding into new international markets with significant investment.
66,Divorced,GRADUATE,M,others,P2,42,1,Multiple news reports of severe supply chain disruptions and production delays affecting core operations.
67,Single,GRADUATE,M,others,P2,41,0,Public statement from CEO about positive future growth and innovative product pipeline.
68,Single,GRADUATE,M,others,P1,35,0,Positive review from a third-party analyst. No issues reported and strong quarterly earnings announced.
69,Divorced,GRADUATE,M,others,P2,42,1,Multiple news reports of severe supply chain disruptions and production delays affecting core operations.
70,Single,12TH,F,others,P1,34,0,Internal report mentions a data breach. Potential operational risk and legal liabilities are being assessed.
71,Single,GRADUATE,M,others,P1,40,0,Customer inquiry about early loan repayment options. Good sign and a positive indicator of financial health.
72,Married,POST-GRADUATE,M,others,P1,52,0,New partnership announced with a market leader. Market response is very positive and stock price has surged.
73,Married,POST-GRADUATE,M,others,P1,55,1,News reports indicate significant layoffs and restructuring plans due to market downturn. Financial instability noted.
74,Married,POST-GRADUATE,M,ConsumerLoan,P1,50,0,Internal incident report notes minor compliance issues that were promptly rectified. Management is proactive.
75,Married,12TH,F,ConsumerLoan,P2,29,0,Customer's business is stable and has a long history of on-time payments. Diversified portfolio.
76,Divorced,GRADUATE,M,others,P2,44,0,No new information. Standard business operations with consistent financial performance.
77,Single,12TH,F,others,P1,34,0,Internal report mentions a data breach. Potential operational risk and legal liabilities are being assessed.
78,Married,POST-GRADUATE,M,others,P1,52,0,New partnership announced with a market leader. Market response is very positive and stock price has surged.
79,Single,GRADUATE,F,others,P1,31,0,Company acquired a major competitor. Industry analysts are optimistic about synergies and market share.
80,Single,GRADUATE,M,others,P1,40,0,Customer inquiry about early loan repayment options. Good sign and a positive indicator of financial health.
81,Single,12TH,M,others,P2,48,1,Company facing significant legal action for environmental violations with large potential fines.
82,Married,POST-GRADUATE,M,others,P1,55,1,News reports indicate significant layoffs and restructuring plans due to market downturn. Financial instability noted.
83,Married,12TH,F,others,P2,37,0,"Minor customer complaint regarding service speed, quickly resolved. No broader systemic issues identified."
84,Married,POST-GRADUATE,M,others,P1,55,1,News reports indicate significant layoffs and restructuring plans due to market downturn. Financial instability noted.
85,Single,12TH,F,others,P1,28,0,Excellent market reputation. Strong financial outlook and recent stock price increase.
86,Married,POST-GRADUATE,F,others,P2,30,0,Successful product launch. Company is expanding into new international markets with significant investment.
87,Single,GRADUATE,M,others,P1,35,0,Positive review from a third-party analyst. No issues reported and strong quarterly earnings announced.
88,Single,12TH,M,others,P2,48,1,Company facing significant legal action for environmental violations with large potential fines.
89,Married,12TH,F,ConsumerLoan,P2,29,0,Customer's business is stable and has a long history of on-time payments. Diversified portfolio.
90,Married,POST-GRADUATE,M,others,P1,52,0,New partnership announced with a market leader. Market response is very positive and stock price has surged.
91,Married,12TH,F,others,P2,37,0,"Minor customer complaint regarding service speed, quickly resolved. No broader systemic issues identified."
92,Single,GRADUATE,F,others,P1,31,0,Company acquired a major competitor. Industry analysts are optimistic about synergies and market share.
93,Married,POST-GRADUATE,F,others,P2,30,0,Successful product launch. Company is expanding into new international markets with significant investment.
94,Married,12TH,M,others,P1,39,0,Customer reported a recent job loss and is struggling with payments. High-risk industry forecast.
95,Divorced,GRADUATE,M,others,P2,42,1,Multiple news reports of severe supply chain disruptions and production delays affecting core operations.
96,Divorced,GRADUATE,M,others,P2,42,1,Multiple news reports of severe supply chain disruptions and production delays affecting core operations.
97,Single,12TH,M,others,P2,48,1,Company facing significant legal action for environmental violations with large potential fines.
98,Married,POST-GRADUATE,M,ConsumerLoan,P1,50,0,Internal incident report notes minor compliance issues that were promptly rectified. Management is proactive.
99,Married,12TH,F,others,P2,37,0,"Minor customer complaint regarding service speed, quickly resolved. No broader systemic issues identified."
100,Married,12TH,F,ConsumerLoan,P2,29,0,Customer's business is stable and has a long history of on-time payments. Diversified portfolio.
101,Divorced,GRADUATE,M,others,P2,42,1,Multiple news reports of severe supply chain disruptions and production delays affecting core operations.
102,Divorced,GRADUATE,M,others,P2,42,1,Multiple news reports of severe supply chain disruptions and production delays affecting core operations.
103,Single,GRADUATE,M,others,P2,41,0,Public statement from CEO about positive future growth and innovative product pipeline.
104,Married,POST-GRADUATE,M,others,P1,55,1,News reports indicate significant layoffs and restructuring plans due to market downturn. Financial instability noted.
105,Single,GRADUATE,M,others,P1,40,0,Customer inquiry about early loan repayment options. Good sign and a positive indicator of financial health.
106,Single,12TH,F,others,P2,27,1,Customer's business is in a declining industry. High competition and low margins are a concern.
107,Single,GRADUATE,M,others,P1,35,0,Positive review from a third-party analyst. No issues reported and strong quarterly earnings announced.
108,Divorced,GRADUATE,F,others,P1,25,0,"News article highlights strong Q3 earnings, exceeding expectations. Solid growth expected."
109,Married,POST-GRADUATE,M,ConsumerLoan,P1,50,0,Internal incident report notes minor compliance issues that were promptly rectified. Management is proactive.
110,Divorced,GRADUATE,M,others,P2,42,1,Multiple news reports of severe supply chain disruptions and production delays affecting core operations.
111,Married,POST-GRADUATE,M,ConsumerLoan,P1,50,0,Internal incident report notes minor compliance issues that were promptly rectified. Management is proactive.
112,Single,12TH,M,others,P2,48,1,Company facing significant legal action for environmental violations with large potential fines.
113,Divorced,GRADUATE,M,others,P2,42,1,Multiple news reports of severe supply chain disruptions and production delays affecting core operations.
114,Married,POST-GRADUATE,M,others,P2,46,1,Employee turnover is high. Negative sentiment on social media regarding company culture and leadership.
115,Married,POST-GRADUATE,M,others,P1,52,0,New partnership announced with a market leader. Market response is very positive and stock price has surged.
116,Married,POST-GRADUATE,M,others,P1,55,1,News reports indicate significant layoffs and restructuring plans due to market downturn. Financial instability noted.
117,Single,GRADUATE,F,others,P1,31,0,Company acquired a major competitor. Industry analysts are optimistic about synergies and market share.
118,Single,12TH,F,others,P2,27,1,Customer's business is in a declining industry. High competition and low margins are a concern.
119,Divorced,GRADUATE,F,others,P1,25,0,"News article highlights strong Q3 earnings, exceeding expectations. Solid growth expected."
120,Divorced,GRADUATE,M,others,P2,44,0,No new information. Standard business operations with consistent financial performance.
121,Single,GRADUATE,M,others,P1,40,0,Customer inquiry about early loan repayment options. Good sign and a positive indicator of financial health.
122,Married,GRADUATE,F,others,P2,33,0,Client is a key partner in a large government contract. No red flags and consistent performance metrics.
123,Married,12TH,F,ConsumerLoan,P2,29,0,Customer's business is stable and has a long history of on-time payments. Diversified portfolio.
124,Married,12TH,F,others,P2,37,0,"Minor customer complaint regarding service speed, quickly resolved. No broader systemic issues identified."
125,Single,GRADUATE,M,others,P2,41,0,Public statement from CEO about positive future growth and innovative product pipeline.
126,Married,POST-GRADUATE,M,others,P2,46,1,Employee turnover is high. Negative sentiment on social media regarding company culture and leadership.
127,Divorced,GRADUATE,F,others,P1,25,0,"News article highlights strong Q3 earnings, exceeding expectations. Solid growth expected."
128,Married,POST-GRADUATE,F,others,P2,30,0,Successful product launch. Company is expanding into new international markets with significant investment.
129,Single,12TH,F,others,P2,27,1,Customer's business is in a declining industry. High competition and low margins are a concern.
130,Single,GRADUATE,F,others,P1,31,0,Company acquired a major competitor. Industry analysts are optimistic about synergies and market share.
131,Single,12TH,F,others,P2,27,1,Customer's business is in a declining industry. High competition and low margins are a concern.
132,Single,12TH,F,others,P2,27,1,Customer's business is in a declining industry. High competition and low margins are a concern.
133,Single,12TH,F,others,P1,34,0,Internal report mentions a data breach. Potential operational risk and legal liabilities are being assessed.
134,Married,12TH,F,ConsumerLoan,P2,29,0,Customer's business is stable and has a long history of on-time payments. Diversified portfolio.
135,Married,12TH,F,ConsumerLoan,P2,29,0,Customer's business is stable and has a long history of on-time payments. Diversified portfolio.
136,Single,12TH,F,others,P2,27,1,Customer's business is in a declining industry. High competition and low margins are a concern.
137,Single,GRADUATE,M,others,P1,40,0,Customer inquiry about early loan repayment options. Good sign and a positive indicator of financial health.
138,Single,12TH,F,others,P2,27,1,Customer's business is in a declining industry. High competition and low margins are a concern.
139,Married,POST-GRADUATE,F,others,P2,30,0,Successful product launch. Company is expanding into new international markets with significant investment.
140,Single,GRADUATE,F,others,P1,31,0,Company acquired a major competitor. Industry analysts are optimistic about synergies and market share.
141,Divorced,GRADUATE,M,others,P2,44,0,No new information. Standard business operations with consistent financial performance.
142,Single,GRADUATE,F,others,P1,31,0,Company acquired a major competitor. Industry analysts are optimistic about synergies and market share.
143,Married,12TH,F,ConsumerLoan,P2,29,0,Customer's business is stable and has a long history of on-time payments. Diversified portfolio.
144,Divorced,GRADUATE,M,others,P2,44,0,No new information. Standard business operations with consistent financial performance.
145,Married,POST-GRADUATE,M,others,P1,52,0,New partnership announced with a market leader. Market response is very positive and stock price has surged.
146,Married,POST-GRADUATE,M,others,P1,52,0,New partnership announced with a market leader. Market response is very positive and stock price has surged.
147,Single,GRADUATE,M,others,P2,41,0,Public statement from CEO about positive future growth and innovative product pipeline.
148,Married,POST-GRADUATE,M,others,P2,46,1,Employee turnover is high. Negative sentiment on social media regarding company culture and leadership.
149,Single,GRADUATE,M,others,P1,35,0,Positive review from a third-party analyst. No issues reported and strong quarterly earnings announced.
150,Single,GRADUATE,M,others,P2,41,0,Public statement from CEO about positive future growth and innovative product pipeline.
151,Married,GRADUATE,F,others,P2,33,0,Client is a key partner in a large government contract. No red flags and consistent performance metrics.
152,Divorced,GRADUATE,M,others,P2,42,1,Multiple news reports of severe supply chain disruptions and production delays affecting core operations.
153,Married,POST-GRADUATE,M,others,P2,46,1,Employee turnover is high. Negative sentiment on social media regarding company culture and leadership.
154,Married,POST-GRADUATE,M,others,P2,46,1,Employee turnover is high. Negative sentiment on social media regarding company culture and leadership.
155,Single,12TH,F,others,P1,34,0,Internal report mentions a data breach. Potential operational risk and legal liabilities are being assessed.
156,Divorced,GRADUATE,F,others,P1,25,0,"News article highlights strong Q3 earnings, exceeding expectations. Solid growth expected."
157,Single,12TH,F,others,P1,34,0,Internal report mentions a data breach. Potential operational risk and legal liabilities are being assessed.
158,Single,GRADUATE,M,others,P1,40,0,Customer inquiry about early loan repayment options. Good sign and a positive indicator of financial health.
159,Married,POST-GRADUATE,M,others,P2,46,1,Employee turnover is high. Negative sentiment on social media regarding company culture and leadership.
160,Married,POST-GRADUATE,M,others,P1,55,1,News reports indicate significant layoffs and restructuring plans due to market downturn. Financial instability noted.
161,Single,GRADUATE,M,others,P1,35,0,Positive review from a third-party analyst. No issues reported and strong quarterly earnings announced.
162,Divorced,GRADUATE,F,others,P1,25,0,"News article highlights strong Q3 earnings, exceeding expectations. Solid growth expected."
163,Single,12TH,M,others,P2,48,1,Company facing significant legal action for environmental violations with large potential fines.
164,Married,12TH,F,others,P2,37,0,"Minor customer complaint regarding service speed, quickly resolved. No broader systemic issues identified."
165,Single,GRADUATE,F,others,P1,31,0,Company acquired a major competitor. Industry analysts are optimistic about synergies and market share.
166,Married,POST-GRADUATE,M,others,P1,55,1,News reports indicate significant layoffs and restructuring plans due to market downturn. Financial instability noted.
167,Married,12TH,M,others,P1,39,0,Customer reported a recent job loss and is struggling with payments. High-risk industry forecast.
168,Single,GRADUATE,M,others,P1,35,0,Positive review from a third-party analyst. No issues reported and strong quarterly earnings announced.
169,Single,GRADUATE,M,others,P1,40,0,Customer inquiry about early loan repayment options. Good sign and a positive indicator of financial health.
170,Divorced,GRADUATE,M,others,P2,44,0,No new information. Standard business operations with consistent financial performance.
171,Single,GRADUATE,M,others,P1,40,0,Customer inquiry about early loan repayment options. Good sign and a positive indicator of financial health.
172,Married,12TH,M,others,P1,39,0,Customer reported a recent job loss and is struggling with payments. High-risk industry forecast.
173,Married,POST-GRADUATE,M,others,P1,52,0,New partnership announced with a market leader. Market response is very positive and stock price has surged.
174,Married,POST-GRADUATE,F,others,P2,30,0,Successful product launch. Company is expanding into new international markets with significant investment.
175,Single,GRADUATE,M,others,P2,41,0,Public statement from CEO about positive future growth and innovative product pipeline.
176,Married,POST-GRADUATE,M,ConsumerLoan,P1,50,0,Internal incident report notes minor compliance issues that were promptly rectified. Management is proactive.
177,Single,12TH,F,others,P1,34,0,Internal report mentions a data breach. Potential operational risk and legal liabilities are being assessed.
178,Single,12TH,F,others,P1,34,0,Internal report mentions a data breach. Potential operational risk and legal liabilities are being assessed.
179,Married,GRADUATE,F,others,P2,33,0,Client is a key partner in a large government contract. No red flags and consistent performance metrics.
180,Married,POST-GRADUATE,M,others,P2,46,1,Employee turnover is high. Negative sentiment on social media regarding company culture and leadership.
181,Married,POST-GRADUATE,M,others,P1,55,1,News reports indicate significant layoffs and restructuring plans due to market downturn. Financial instability noted.
182,Married,12TH,F,others,P2,37,0,"Minor customer complaint regarding service speed, quickly resolved. No broader systemic issues identified."
183,Married,12TH,F,others,P2,37,0,"Minor customer complaint regarding service speed, quickly resolved. No broader systemic issues identified."
184,Divorced,GRADUATE,F,others,P1,25,0,"News article highlights strong Q3 earnings, exceeding expectations. Solid growth expected."
185,Single,GRADUATE,M,others,P2,41,0,Public statement from CEO about positive future growth and innovative product pipeline.
186,Single,12TH,F,others,P1,34,0,Internal report mentions a data breach. Potential operational risk and legal liabilities are being assessed.
187,Divorced,GRADUATE,M,others,P2,44,0,No new information. Standard business operations with consistent financial performance.
188,Single,12TH,F,others,P1,34,0,Internal report mentions a data breach. Potential operational risk and legal liabilities are being assessed.
189,Single,12TH,F,others,P1,34,0,Internal report mentions a data breach. Potential operational risk and legal liabilities are being assessed.
190,Married,12TH,F,ConsumerLoan,P2,29,0,Customer's business is stable and has a long history of on-time payments. Diversified portfolio.
191,Single,12TH,M,others,P2,48,1,Company facing significant legal action for environmental violations with large potential fines.
192,Single,GRADUATE,M,others,P2,41,0,Public statement from CEO about positive future growth and innovative product pipeline.
193,Married,GRADUATE,F,others,P2,33,0,Client is a key partner in a large government contract. No red flags and consistent performance metrics.
194,Divorced,GRADUATE,M,others,P2,44,0,No new information. Standard business operations with consistent financial performance.
195,Married,POST-GRADUATE,M,others,P1,55,1,News reports indicate significant layoffs and restructuring plans due to market downturn. Financial instability noted.
196,Single,GRADUATE,M,others,P1,35,0,Positive review from a third-party analyst. No issues reported and strong quarterly earnings announced.
197,Married,POST-GRADUATE,M,others,P1,52,0,New partnership announced with a market leader. Market response is very positive and stock price has surged.
198,Single,12TH,F,others,P2,27,1,Customer's business is in a declining industry. High competition and low margins are a concern.
199,Married,12TH,F,ConsumerLoan,P2,29,0,Customer's business is stable and has a long history of on-time payments. Diversified portfolio.
200,Married,POST-GRADUATE,M,others,P2,46,1,Employee turnover is high. Negative sentiment on social media regarding company culture and leadership.
201,Married,POST-GRADUATE,F,others,P2,30,0,Successful product launch. Company is expanding into new international markets with significant investment.
202,Married,12TH,F,others,P2,37,0,"Minor customer complaint regarding service speed, quickly resolved. No broader systemic issues identified."
203,Married,12TH,M,others,P1,39,0,Customer reported a recent job loss and is struggling with payments. High-risk industry forecast.
204,Married,12TH,M,others,P1,39,0,Customer reported a recent job loss and is struggling with payments. High-risk industry forecast.
205,Single,GRADUATE,M,others,P1,40,0,Customer inquiry about early loan repayment options. Good sign and a positive indicator of financial health.
206,Married,POST-GRADUATE,M,others,P1,52,0,New partnership announced with a market leader. Market response is very positive and stock price has surged.
207,Single,12TH,F,others,P1,34,0,Internal report mentions a data breach. Potential operational risk and legal liabilities are being assessed.
208,Married,12TH,M,others,P1,39,0,Customer reported a recent job loss and is struggling with payments. High-risk industry forecast.
209,Divorced,GRADUATE,M,others,P2,42,1,Multiple news reports of severe supply chain disruptions and production delays affecting core operations.
210,Married,POST-GRADUATE,M,others,P1,52,0,New partnership announced with a market leader. Market response is very positive and stock price has surged.
211,Single,GRADUATE,M,others,P1,40,0,Customer inquiry about early loan repayment options. Good sign and a positive indicator of financial health.
212,Single,GRADUATE,M,others,P1,35,0,Positive review from a third-party analyst. No issues reported and strong quarterly earnings announced.
213,Single,GRADUATE,M,others,P2,41,0,Public statement from CEO about positive future growth and innovative product pipeline.
214,Single,12TH,F,others,P1,34,0,Internal report mentions a data breach. Potential operational risk and legal liabilities are being assessed.
215,Married,POST-GRADUATE,M,ConsumerLoan,P1,50,0,Internal incident report notes minor compliance issues that were promptly rectified. Management is proactive.
216,Single,12TH,F,others,P1,34,0,Internal report mentions a data breach. Potential operational risk and legal liabilities are being assessed.
217,Married,POST-GRADUATE,M,others,P2,46,1,Employee turnover is high. Negative sentiment on social media regarding company culture and leadership.
218,Married,12TH,F,others,P2,37,0,"Minor customer complaint regarding service speed, quickly resolved. No broader systemic issues identified."
219,Married,12TH,F,ConsumerLoan,P2,29,0,Customer's business is stable and has a long history of on-time payments. Diversified portfolio.
220,Married,12TH,F,others,P2,37,0,"Minor customer complaint regarding service speed, quickly resolved. No broader systemic issues identified."
221,Single,12TH,F,others,P2,27,1,Customer's business is in a declining industry. High competition and low margins are a concern.
222,Divorced,GRADUATE,M,others,P2,44,0,No new information. Standard business operations with consistent financial performance.
223,Married,POST-GRADUATE,M,ConsumerLoan,P1,50,0,Internal incident report notes minor compliance issues that were promptly rectified. Management is proactive.
224,Married,POST-GRADUATE,M,others,P1,55,1,News reports indicate significant layoffs and restructuring plans due to market downturn. Financial instability noted.
225,Married,POST-GRADUATE,M,others,P1,55,1,News reports indicate significant layoffs and restructuring plans due to market downturn. Financial instability noted.
226,Single,12TH,F,others,P1,28,0,Excellent market reputation. Strong financial outlook and recent stock price increase.
227,Single,12TH,F,others,P1,28,0,Excellent market reputation. Strong financial outlook and recent stock price increase.
228,Married,12TH,M,others,P1,39,0,Customer reported a recent job loss and is struggling with payments. High-risk industry forecast.
229,Married,POST-GRADUATE,M,ConsumerLoan,P1,50,0,Internal incident report notes minor compliance issues that were promptly rectified. Management is proactive.
230,Married,POST-GRADUATE,M,others,P2,46,1,Employee turnover is high. Negative sentiment on social media regarding company culture and leadership.
231,Married,POST-GRADUATE,M,others,P1,52,0,New partnership announced with a market leader. Market response is very positive and stock price has surged.
232,Married,POST-GRADUATE,M,others,P1,55,1,News reports indicate significant layoffs and restructuring plans due to market downturn. Financial instability noted.
233,Single,GRADUATE,F,others,P1,31,0,Company acquired a major competitor. Industry analysts are optimistic about synergies and market share.
234,Single,GRADUATE,M,others,P2,41,0,Public statement from CEO about positive future growth and innovative product pipeline.
235,Single,GRADUATE,M,others,P1,40,0,Customer inquiry about early loan repayment options. Good sign and a positive indicator of financial health.
236,Married,12TH,F,ConsumerLoan,P2,29,0,Customer's business is stable and has a long history of on-time payments. Diversified portfolio.
237,Divorced,GRADUATE,M,others,P2,44,0,No new information. Standard business operations with consistent financial performance.
238,Single,GRADUATE,M,others,P1,40,0,Customer inquiry about early loan repayment options. Good sign and a positive indicator of financial health.
239,Married,POST-GRADUATE,M,others,P2,46,1,Employee turnover is high. Negative sentiment on social media regarding company culture and leadership.
240,Married,POST-GRADUATE,F,others,P2,30,0,Successful product launch. Company is expanding into new international markets with significant investment.
241,Married,POST-GRADUATE,M,others,P1,55,1,News reports indicate significant layoffs and restructuring plans due to market downturn. Financial instability noted.
242,Married,12TH,M,others,P1,39,0,Customer reported a recent job loss and is struggling with payments. High-risk industry forecast.
243,Divorced,GRADUATE,M,others,P2,44,0,No new information. Standard business operations with consistent financial performance.
244,Single,12TH,F,others,P1,28,0,Excellent market reputation. Strong financial outlook and recent stock price increase.
245,Single,12TH,F,others,P2,27,1,Customer's business is in a declining industry. High competition and low margins are a concern.
246,Single,12TH,F,others,P1,34,0,Internal report mentions a data breach. Potential operational risk and legal liabilities are being assessed.
247,Married,12TH,F,others,P2,37,0,"Minor customer complaint regarding service speed, quickly resolved. No broader systemic issues identified."
248,Single,12TH,F,others,P2,27,1,Customer's business is in a declining industry. High competition and low margins are a concern.
249,Single,12TH,F,others,P2,27,1,Customer's business is in a declining industry. High competition and low margins are a concern.
250,Divorced,GRADUATE,F,others,P1,25,0,"News article highlights strong Q3 earnings, exceeding expectations. Solid growth expected."
251,Married,12TH,F,others,P2,37,0,"Minor customer complaint regarding service speed, quickly resolved. No broader systemic issues identified."
252,Single,12TH,F,others,P1,34,0,Internal report mentions a data breach. Potential operational risk and legal liabilities are being assessed.
253,Married,12TH,M,others,P1,39,0,Customer reported a recent job loss and is struggling with payments. High-risk industry forecast.
254,Single,12TH,M,others,P2,48,1,Company facing significant legal action for environmental violations with large potential fines.
255,Divorced,GRADUATE,F,others,P1,25,0,"News article highlights strong Q3 earnings, exceeding expectations. Solid growth expected."
256,Married,12TH,F,others,P2,37,0,"Minor customer complaint regarding service speed, quickly resolved. No broader systemic issues identified."
257,Single,GRADUATE,M,others,P1,40,0,Customer inquiry about early loan repayment options. Good sign and a positive indicator of financial health.
258,Divorced,GRADUATE,M,others,P2,42,1,Multiple news reports of severe supply chain disruptions and production delays affecting core operations.
259,Married,12TH,M,others,P1,39,0,Customer reported a recent job loss and is struggling with payments. High-risk industry forecast.
